fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
Gadzhimurad Antigulov,7.166666666666667,12.666666666666666,1.1666666666666667,4.666666666666667,1.6666666666666667,0.8333333333333334,2.6666666666666665,2.0,2.5,13.0,19.5,3.1666666666666665,0.0,0.3333333333333333,0.0,101.33333333333333,0.47290737643998515,0.5125000000000001
Gaetano Pirrello,5.5,7.5,0.0,2.0,1.0,2.5,4.5,1.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6309523809523809,0.0
Galore Bofando,11.5,11.5,0.5,9.5,1.0,1.0,5.5,0.0,6.0,25.5,25.5,0.5,0.5,0.0,0.0,1.5,0.45,1.0
Gan McGee,10.75,15.25,0.5,9.0,1.0,0.75,6.5,0.5,3.75,31.75,36.5,2.0,0.0,0.0,0.0,134.0,0.3601495680731063,0.2
Garett Whiteley,42.0,61.0,0.0,20.0,14.666666666666666,7.333333333333333,24.333333333333332,9.333333333333334,8.333333333333334,87.0,109.66666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,15.0,0.44231654014262717,0.0
Garreth McLellan,37.0,64.0,0.8,24.0,8.0,5.0,11.6,6.6,18.8,68.0,98.2,3.6,0.0,0.6,0.0,170.8,0.5101301323944263,0.1625
Garrett Armfield,58.2,68.0,0.8,44.6,10.2,3.4,49.2,3.2,5.8,108.4,119.0,1.6,0.4,0.4,0.2,121.6,0.5182887393730767,0.26666666666666666
Gary Goodridge,5.5,10.875,0.5,4.375,0.625,0.5,1.375,2.0,2.125,9.625,15.625,0.75,0.0,0.125,0.25,0.0,0.5568910256410257,0.8333333333333333
Gasan Umalatov,33.5,44.5,0.75,20.75,6.5,6.25,29.75,3.25,0.5,84.25,97.0,4.25,0.0,0.0,0.0,106.25,0.39969169804340265,0.09821428571428571
Gaston Bolanos,37.25,46.25,0.5,17.25,8.5,11.5,26.25,2.25,8.75,75.75,86.0,0.5,0.0,0.0,0.5,92.25,0.4496021677845825,1.0
Gauge Young,96.5,106.0,1.5,48.5,28.0,20.0,92.0,4.0,0.5,191.5,202.0,3.5,0.0,0.0,0.0,116.5,0.5013114754098361,0.25
Gavin Tucker,44.142857142857146,52.0,2.142857142857143,27.0,11.142857142857142,6.0,35.285714285714285,7.0,1.8571428571428572,98.71428571428571,107.42857142857143,4.857142857142857,0.0,1.0,0.2857142857142857,118.85714285714286,0.4665088290084083,0.5705128205128205
Geane Herrera,20.5,32.0,0.75,17.25,2.0,1.25,14.5,1.75,4.25,65.75,78.0,2.0,0.25,0.5,0.25,29.0,0.4007630164861275,0.5666666666666667
Gegard Mousasi,38.75,58.75,0.75,27.666666666666668,4.0,7.083333333333333,25.25,4.416666666666667,9.083333333333334,77.0,100.33333333333333,1.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,140.08333333333334,0.5104266148870107,0.5357142857142857
