fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
Steve Erceg,58.0,66.0,0.8,43.8,9.2,5.0,54.6,2.8,0.6,129.0,139.6,3.4,0.2,0.2,0.2,64.8,0.4198562110707681,0.15555555555555556
Steve Garcia,36.8,45.2,0.0,27.2,6.6,3.0,25.2,1.8,9.8,85.0,96.8,0.2,0.8,0.2,0.2,37.2,0.5228489898720314,0.0
Steve Jennum,6.333333333333333,12.333333333333334,1.0,6.333333333333333,0.0,0.0,0.3333333333333333,0.0,6.0,17.333333333333332,28.333333333333332,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.2901515151515151,0.8333333333333333
Steve Judson,7.0,10.5,0.0,5.5,1.5,0.0,0.0,7.0,0.0,13.5,18.0,0.5,0.0,0.0,0.0,10.0,0.5185185185185185,0.0
Steve Kennedy,20.5,32.0,1.5,16.0,1.5,3.0,18.0,0.0,2.5,57.0,70.0,4.5,0.0,0.0,0.0,145.5,0.3112745098039216,0.1875
Steve Lopez,14.5,41.5,0.0,5.0,2.5,7.0,13.5,0.0,1.0,60.0,88.0,0.0,0.0,0.0,0.0,0.0,0.22319632078183388,0.0
Steve Montgomery,43.0,51.0,0.0,28.5,13.0,1.5,29.0,13.0,1.0,109.5,118.0,0.0,0.0,0.0,0.0,1.0,0.36228496634255797,0.0
Steve Nelmark,7.5,20.5,1.0,6.5,1.0,0.0,1.0,1.0,5.5,9.0,22.5,1.0,0.0,0.5,0.0,0.0,0.90625,1.0
Steve Steinbeiss,46.0,81.0,0.0,11.0,30.5,4.5,13.5,32.5,0.0,74.0,109.5,0.5,0.0,0.0,0.0,161.5,0.5136678906568747,0.0
Steve Vigneault,6.0,8.0,0.0,1.0,1.0,4.0,1.0,5.0,0.0,13.0,15.0,1.0,0.0,0.0,0.0,13.0,0.46153846153846156,0.0
Steven Graham,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0
Steven Koslow,11.0,20.0,5.0,8.0,1.0,2.0,8.0,1.0,2.0,29.0,42.0,9.0,0.0,1.0,2.0,280.0,0.3793103448275862,0.5555555555555556
Steven Nguyen,77.5,85.5,0.5,61.5,6.0,10.0,54.5,4.0,19.0,200.0,210.5,0.5,3.0,0.0,0.0,93.0,0.40374834706540536,1.0
Steven Peterson,67.8,88.6,0.6,46.6,11.4,9.8,57.6,4.4,5.8,147.8,170.4,1.8,0.2,0.8,0.0,142.4,0.4702420754954272,0.5
Steven Siler,25.0,49.0,0.2,18.2,4.2,2.6,16.4,4.2,4.4,63.2,91.4,0.8,0.2,1.0,0.2,136.2,0.40257033552805394,0.25
Stevie Lynch,7.0,7.0,0.0,5.0,1.0,1.0,7.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,19.0,0.25,0.0
Stevie Ray,38.2,45.8,0.8,20.4,2.6,15.2,29.8,1.4,7.0,88.8,97.0,1.8,0.0,0.2,0.0,75.8,0.40152653078007494,0.3333333333333333
Stewart Nicoll,26.5,30.5,1.5,22.5,2.0,2.0,23.5,0.0,3.0,77.5,84.0,10.5,0.0,0.0,0.0,107.0,0.3983375959079284,0.55
Stipe Miocic,62.2,77.8,0.4,39.0,14.6,8.6,53.2,8.4,0.6,113.8,130.2,2.2,0.4,0.0,0.0,105.4,0.5922973322823818,0.3333333333333333
SuYoung You,39.333333333333336,76.0,2.3333333333333335,26.666666666666668,6.333333333333333,6.333333333333333,33.666666666666664,4.666666666666667,1.0,76.33333333333333,115.66666666666667,7.0,0.0,0.3333333333333333,0.0,255.66666666666666,0.5241771159874608,0.3
Sultan Aliev,15.0,35.0,1.25,12.75,1.75,0.5,9.25,3.25,2.5,32.75,54.75,3.25,0.0,0.0,0.25,261.5,0.4934371184371184,0.42857142857142855
Suman Mokhtarian,19.0,36.5,0.0,7.5,5.5,6.0,16.0,2.0,1.0,44.0,62.5,0.5,0.0,0.0,0.0,31.5,0.4866385372714487,0.0
Sumudaerji,52.2,64.8,0.0,28.4,8.4,15.4,43.8,6.4,2.0,99.0,113.2,1.6,0.2,0.4,0.6,40.0,0.516051365805941,0.0
Sung Bin Jo,21.0,23.0,1.0,13.0,7.0,1.0,12.0,8.0,1.0,63.0,65.0,3.0,0.0,1.0,0.0,10.0,0.3333333333333333,0.3333333333333333
Syuri Kondo,61.5,65.0,0.0,44.25,11.0,6.25,53.5,7.25,0.75,137.0,141.5,0.0,0.0,0.25,0.0,5.0,0.526539762708984,0.0
TJ Brown,37.0,64.4,2.4,28.2,6.4,2.4,29.2,4.8,3.0,75.4,111.0,4.2,0.0,1.6,1.6,268.8,0.4894348925927874,0.6071428571428571
TJ Dillashaw,36.8,51.4,0.4,22.2,3.6,11.0,27.4,4.6,4.8,90.0,105.8,4.0,0.8,0.0,0.0,110.2,0.3846773964933169,0.05263157894736842
TJ Grant,67.2,87.2,1.0,41.6,20.0,5.6,46.4,15.2,5.6,124.4,145.4,2.4,0.8,0.8,0.2,167.8,0.5208163478922828,0.4761904761904762
TJ Laramie,7.5,11.0,0.5,4.5,1.0,2.0,6.0,0.0,1.5,17.5,21.5,2.5,0.0,0.0,0.5,135.0,0.24193548387096775,0.125
TJ O'Brien,30.0,33.0,0.5,14.0,4.5,11.5,28.0,0.0,2.0,65.0,69.0,0.5,0.0,0.0,0.0,17.0,0.461392254692326,1.0
TJ Waldburger,15.2,20.6,0.6,8.4,3.2,3.6,10.6,3.0,1.6,32.0,38.4,2.8,0.4,2.0,0.0,74.8,0.606139312946335,0.44000000000000006
Tabatha Ricci,57.6,84.8,1.2,42.6,6.4,8.6,49.8,4.8,3.0,157.0,188.8,5.4,0.0,0.0,0.0,193.6,0.3536432017791177,0.2866666666666667
Tae Hyun Bang,33.2,39.0,0.4,28.2,3.4,1.6,27.6,2.0,3.6,86.6,92.6,1.2,0.6,0.4,0.6,53.4,0.38038615313456314,0.4
Tafon Nchukwi,54.6,64.2,0.8,25.2,15.8,13.6,42.8,10.0,1.8,107.2,119.8,1.0,0.0,0.0,0.0,66.6,0.5467028413314465,0.75
Tagir Ulanbekov,28.8,48.4,1.4,23.4,4.4,1.0,21.4,3.6,3.8,54.0,76.2,4.0,0.2,1.6,0.2,234.6,0.4776607413531762,0.5
Tai Bowden,4.0,20.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tai Tuivasa,22.2,23.2,0.0,10.2,3.6,8.4,19.8,2.0,0.4,63.2,64.2,0.0,0.2,0.0,0.0,1.0,0.3724807876082402,0.0
Taila Santos,44.4,90.0,1.8,25.2,6.8,12.4,30.8,4.4,9.2,89.0,139.6,2.4,0.6,1.2,0.4,373.0,0.5424262390042637,0.75
Tainara Lisboa,27.0,61.0,1.5,16.25,9.5,1.25,16.25,10.25,0.5,61.0,100.25,4.75,0.0,0.25,0.0,170.75,0.4133255345092463,0.28125
Taiyilake Nueraji,27.0,31.0,1.0,25.0,2.0,0.0,2.0,0.0,25.0,38.0,42.0,3.0,0.0,0.0,0.0,191.0,0.7105263157894737,0.3333333333333333
Takanori Gomi,2.2,2.2,0.0,0.6,1.4,0.2,2.2,0.0,0.0,8.2,8.2,0.0,0.0,0.0,0.0,0.0,0.2816666666666666,0.0
Takashi Sato,14.8,21.4,0.4,10.6,3.4,0.8,6.8,3.0,5.0,31.4,39.4,1.2,0.2,0.0,0.2,30.8,0.4790731533929084,0.3333333333333333
Takenori Sato,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.5,2.0,2.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
Takeya Mizugaki,20.4,25.8,0.0,13.2,5.8,1.4,13.6,6.8,0.0,52.2,58.2,0.4,0.0,0.0,0.0,42.2,0.34329365079365076,0.0
Talita Alencar,45.5,69.75,2.75,28.5,12.75,4.25,25.25,7.0,13.25,120.75,151.75,8.0,0.0,0.75,0.0,332.5,0.42520563546631795,0.40902777777777777
Talita Bernardo,43.5,62.25,1.5,26.5,6.0,11.0,37.0,1.75,4.75,103.25,125.5,6.75,0.0,0.5,0.5,295.0,0.42630155510480056,0.2132034632034632
