event,fighter_name,opponent_name,weightclass,method,round,time,time_format,details,outcome
UFC Fight Night: Oliveira vs. Gamrot,Charles Oliveira,Mateusz Gamrot,Lightweight Bout,Submission,2,2:48,5 Rnd (5-5-5-5-5),Rear Naked Choke,Win
UFC Fight Night: Oliveira vs. Gamrot,Mateusz Gamrot,Charles Oliveira,Lightweight Bout,Submission,2,2:48,5 Rnd (5-5-5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Oliveira vs. Gamrot,Deiveson Figueiredo,Montel Jackson,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Clemens Werner 28 - 29.Fabio Alves 29 - 28.Jerin Valel 28 - 29.,Win
UFC Fight Night: Oliveira vs. Gamrot,Montel Jackson,Deiveson Figueiredo,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Clemens Werner 28 - 29.Fabio Alves 29 - 28.Jerin Valel 28 - 29.,Loss
UFC Fight Night: Oliveira vs. Gamrot,Vicente Luque,Joel Alvarez,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mateus Fonseca 26 - 30.Sal D'amato 26 - 30.David Lethaby 26 - 30.,Loss
UFC Fight Night: Oliveira vs. Gamrot,Joel Alvarez,Vicente Luque,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mateus Fonseca 26 - 30.Sal D'amato 26 - 30.David Lethaby 26 - 30.,Win
UFC Fight Night: Oliveira vs. Gamrot,Jhonata Diniz,Mario Pinto,Heavyweight Bout,KO/TKO,2,4:10,3 Rnd (5-5-5),Punches to Head From Mount,Loss
UFC Fight Night: Oliveira vs. Gamrot,Mario Pinto,Jhonata Diniz,Heavyweight Bout,KO/TKO,2,4:10,3 Rnd (5-5-5),Punches to Head From Mount,Win
UFC Fight Night: Oliveira vs. Gamrot,Ricardo Ramos,Kaan Ofli,Featherweight Bout,Submission,1,3:02,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Oliveira vs. Gamrot,Kaan Ofli,Ricardo Ramos,Featherweight Bout,Submission,1,3:02,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Oliveira vs. Gamrot,Lucas Almeida,Michael Aswell Jr.,Featherweight Bout,KO/TKO,1,1:42,3 Rnd (5-5-5),Punches to Head From Mount,Loss
UFC Fight Night: Oliveira vs. Gamrot,Michael Aswell Jr.,Lucas Almeida,Featherweight Bout,KO/TKO,1,1:42,3 Rnd (5-5-5),Punches to Head From Mount,Win
UFC Fight Night: Oliveira vs. Gamrot,Jafel Filho,Clayton Carpenter,Flyweight Bout,Submission,1,4:42,3 Rnd (5-5-5),Kimura From Bottom Half Guard,Win
UFC Fight Night: Oliveira vs. Gamrot,Clayton Carpenter,Jafel Filho,Flyweight Bout,Submission,1,4:42,3 Rnd (5-5-5),Kimura From Bottom Half Guard,Loss
UFC Fight Night: Oliveira vs. Gamrot,Vitor Petrino,Thomas Petersen,Heavyweight Bout,KO/TKO,3,0:26,3 Rnd (5-5-5),Punch to Head At Distance,Win
UFC Fight Night: Oliveira vs. Gamrot,Thomas Petersen,Vitor Petrino,Heavyweight Bout,KO/TKO,3,0:26,3 Rnd (5-5-5),Punch to Head At Distance,Loss
UFC Fight Night: Oliveira vs. Gamrot,Bia Mesquita,Irina Alekseeva,Women's Bantamweight Bout,Submission,2,2:14,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Oliveira vs. Gamrot,Irina Alekseeva,Bia Mesquita,Women's Bantamweight Bout,Submission,2,2:14,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Oliveira vs. Gamrot,Lucas Rocha,Stewart Nicoll,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mateus Fonseca 27 - 30.Sal D'amato 27 - 30.Jerin Valel 27 - 30.,Win
UFC Fight Night: Oliveira vs. Gamrot,Stewart Nicoll,Lucas Rocha,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mateus Fonseca 27 - 30.Sal D'amato 27 - 30.Jerin Valel 27 - 30.,Loss
UFC Fight Night: Oliveira vs. Gamrot,Julia Polastri,Karolina Kowalkiewicz,Women's Strawweight Bout,KO/TKO,3,2:56,3 Rnd (5-5-5),Punches to Head At Distance,Win
UFC Fight Night: Oliveira vs. Gamrot,Karolina Kowalkiewicz,Julia Polastri,Women's Strawweight Bout,KO/TKO,3,2:56,3 Rnd (5-5-5),Punches to Head At Distance,Loss
UFC Fight Night: Oliveira vs. Gamrot,Luan Lacerda,Saimon Oliveira,Bantamweight Bout,Submission,2,3:55,3 Rnd (5-5-5),Armbar From Bottom Guard,Win
UFC Fight Night: Oliveira vs. Gamrot,Saimon Oliveira,Luan Lacerda,Bantamweight Bout,Submission,2,3:55,3 Rnd (5-5-5),Armbar From Bottom Guard,Loss
UFC 320: Ankalaev vs. Pereira 2,Magomed Ankalaev,Alex Pereira,UFC Light Heavyweight Title Bout,KO/TKO,1,1:20,5 Rnd (5-5-5-5-5),Elbows to Head From Half Guard,Loss
UFC 320: Ankalaev vs. Pereira 2,Alex Pereira,Magomed Ankalaev,UFC Light Heavyweight Title Bout,KO/TKO,1,1:20,5 Rnd (5-5-5-5-5),Elbows to Head From Half Guard,Win
UFC 320: Ankalaev vs. Pereira 2,Merab Dvalishvili,Cory Sandhagen,UFC Bantamweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mike Bell 45 - 49.Ben Cartlidge 45 - 49.Eric Colon 46 - 49.,Win
UFC 320: Ankalaev vs. Pereira 2,Cory Sandhagen,Merab Dvalishvili,UFC Bantamweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mike Bell 45 - 49.Ben Cartlidge 45 - 49.Eric Colon 46 - 49.,Loss
UFC 320: Ankalaev vs. Pereira 2,Jiri Prochazka,Khalil Rountree Jr.,Light Heavyweight Bout,KO/TKO,3,3:04,3 Rnd (5-5-5),Punches to Head At Distance,Win
UFC 320: Ankalaev vs. Pereira 2,Khalil Rountree Jr.,Jiri Prochazka,Light Heavyweight Bout,KO/TKO,3,3:04,3 Rnd (5-5-5),Punches to Head At Distance,Loss
UFC 320: Ankalaev vs. Pereira 2,Josh Emmett,Youssef Zalal,Featherweight Bout,Submission,1,1:38,3 Rnd (5-5-5),Armbar From Back Control,Loss
UFC 320: Ankalaev vs. Pereira 2,Youssef Zalal,Josh Emmett,Featherweight Bout,Submission,1,1:38,3 Rnd (5-5-5),Armbar From Back Control,Win
UFC 320: Ankalaev vs. Pereira 2,Abus Magomedov,Joe Pyfer,Middleweight Bout,Submission,2,1:46,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC 320: Ankalaev vs. Pereira 2,Joe Pyfer,Abus Magomedov,Middleweight Bout,Submission,2,1:46,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC 320: Ankalaev vs. Pereira 2,Ateba Gautier,Tre'ston Vines,Middleweight Bout,KO/TKO,1,1:41,3 Rnd (5-5-5),Punches to Head On Ground,Win
UFC 320: Ankalaev vs. Pereira 2,Tre'ston Vines,Ateba Gautier,Middleweight Bout,KO/TKO,1,1:41,3 Rnd (5-5-5),Punches to Head On Ground,Loss
UFC 320: Ankalaev vs. Pereira 2,Daniel Santos,JooSang Yoo,Catch Weight Bout,KO/TKO,2,0:21,3 Rnd (5-5-5),Punch to Head At Distance,Win
UFC 320: Ankalaev vs. Pereira 2,JooSang Yoo,Daniel Santos,Catch Weight Bout,KO/TKO,2,0:21,3 Rnd (5-5-5),Punch to Head At Distance,Loss
UFC 320: Ankalaev vs. Pereira 2,Patchy Mix,Jakub Wiklacz,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Ben Cartlidge 29 - 28.Derek Cleary 28 - 29.,Loss
UFC 320: Ankalaev vs. Pereira 2,Jakub Wiklacz,Patchy Mix,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Bell 28 - 29.Ben Cartlidge 29 - 28.Derek Cleary 28 - 29.,Win
UFC 320: Ankalaev vs. Pereira 2,Edmen Shahbazyan,Andre Muniz,Middleweight Bout,KO/TKO,1,4:58,3 Rnd (5-5-5),Elbows to Head From Half Guard,Win
UFC 320: Ankalaev vs. Pereira 2,Andre Muniz,Edmen Shahbazyan,Middleweight Bout,KO/TKO,1,4:58,3 Rnd (5-5-5),Elbows to Head From Half Guard,Loss
UFC 320: Ankalaev vs. Pereira 2,Punahele Soriano,Nikolay Veretennikov,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Derek Cleary 27 - 30.Chris Lee 27 - 30.,Win
UFC 320: Ankalaev vs. Pereira 2,Nikolay Veretennikov,Punahele Soriano,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Bell 27 - 30.Derek Cleary 27 - 30.Chris Lee 27 - 30.,Loss
UFC 320: Ankalaev vs. Pereira 2,Macy Chiasson,Yana Santos,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Loss
UFC 320: Ankalaev vs. Pereira 2,Yana Santos,Macy Chiasson,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Win
UFC 320: Ankalaev vs. Pereira 2,Chris Gutierrez,Farid Basharat,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 28 - 29.Eric Colon 28 - 29.Sal D'amato 28 - 29.,Loss
UFC 320: Ankalaev vs. Pereira 2,Farid Basharat,Chris Gutierrez,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 28 - 29.Eric Colon 28 - 29.Sal D'amato 28 - 29.,Win
UFC 320: Ankalaev vs. Pereira 2,Ramiz Brahimaj,Austin Vanderford,Welterweight Bout,Submission,2,2:24,3 Rnd (5-5-5),Guillotine Choke On Ground,Win
UFC 320: Ankalaev vs. Pereira 2,Austin Vanderford,Ramiz Brahimaj,Welterweight Bout,Submission,2,2:24,3 Rnd (5-5-5),Guillotine Choke On Ground,Loss
UFC 320: Ankalaev vs. Pereira 2,Veronica Hardy,Brogan Walker,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 27 - 30.Chris Lee 27 - 30.Clemens Werner 27 - 30.,Win
UFC 320: Ankalaev vs. Pereira 2,Brogan Walker,Veronica Hardy,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Derek Cleary 27 - 30.Chris Lee 27 - 30.Clemens Werner 27 - 30.,Loss
UFC Fight Night: Ulberg vs. Reyes,Carlos Ulberg,Dominick Reyes,Light Heavyweight Bout,KO/TKO,1,4:27,5 Rnd (5-5-5-5-5),Punches to Head At Distance,Win
UFC Fight Night: Ulberg vs. Reyes,Dominick Reyes,Carlos Ulberg,Light Heavyweight Bout,KO/TKO,1,4:27,5 Rnd (5-5-5-5-5),Punches to Head At Distance,Loss
UFC Fight Night: Ulberg vs. Reyes,Jimmy Crute,Ivan Erslan,Light Heavyweight Bout,Submission,1,3:19,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Ulberg vs. Reyes,Ivan Erslan,Jimmy Crute,Light Heavyweight Bout,Submission,1,3:19,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Ulberg vs. Reyes,Jack Jenkins,Ramon Taveras,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Evan Field 27 - 30.Clemens Werner 27 - 30.Ben Cartlidge 28 - 29.,Win
UFC Fight Night: Ulberg vs. Reyes,Ramon Taveras,Jack Jenkins,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Evan Field 27 - 30.Clemens Werner 27 - 30.Ben Cartlidge 28 - 29.,Loss
UFC Fight Night: Ulberg vs. Reyes,Jake Matthews,Neil Magny,Welterweight Bout,Submission,3,3:08,3 Rnd (5-5-5),D'Arce Choke From Half Guard,Loss
UFC Fight Night: Ulberg vs. Reyes,Neil Magny,Jake Matthews,Welterweight Bout,Submission,3,3:08,3 Rnd (5-5-5),D'Arce Choke From Half Guard,Win
UFC Fight Night: Ulberg vs. Reyes,Tom Nolan,Charlie Campbell,Lightweight Bout,Submission,1,4:08,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Ulberg vs. Reyes,Charlie Campbell,Tom Nolan,Lightweight Bout,Submission,1,4:08,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Ulberg vs. Reyes,Navajo Stirling,Rodolfo Bellato,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nathan Pintabona 27 - 30.Clemens Werner 27 - 30.Evan Field 28 - 29.,Win
UFC Fight Night: Ulberg vs. Reyes,Rodolfo Bellato,Navajo Stirling,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nathan Pintabona 27 - 30.Clemens Werner 27 - 30.Evan Field 28 - 29.,Loss
UFC Fight Night: Ulberg vs. Reyes,Cam Rowston,Andre Petroski,Middleweight Bout,KO/TKO,1,2:41,3 Rnd (5-5-5),Punches to Head From Guard,Win
UFC Fight Night: Ulberg vs. Reyes,Andre Petroski,Cam Rowston,Middleweight Bout,KO/TKO,1,2:41,3 Rnd (5-5-5),Punches to Head From Guard,Loss
UFC Fight Night: Ulberg vs. Reyes,Jamie Mullarkey,Rolando Bedoya,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 28 - 29.Evan Field 28 - 29.David Lethaby 28 - 29.,Win
UFC Fight Night: Ulberg vs. Reyes,Rolando Bedoya,Jamie Mullarkey,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 28 - 29.Evan Field 28 - 29.David Lethaby 28 - 29.,Loss
UFC Fight Night: Ulberg vs. Reyes,Colby Thicknesse,Josias Musasa,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mick Meany 28 - 29.Sal D'amato 28 - 29.Clemens Werner 28 - 29.,Win
UFC Fight Night: Ulberg vs. Reyes,Josias Musasa,Colby Thicknesse,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mick Meany 28 - 29.Sal D'amato 28 - 29.Clemens Werner 28 - 29.,Loss
UFC Fight Night: Ulberg vs. Reyes,Michelle Montague,Luana Carolina,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 26 - 29.Evan Field 25 - 30.Nathan Pintabona 26 - 30.,Win
UFC Fight Night: Ulberg vs. Reyes,Luana Carolina,Michelle Montague,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 26 - 29.Evan Field 25 - 30.Nathan Pintabona 26 - 30.,Loss
UFC Fight Night: Ulberg vs. Reyes,Brando Pericic,Elisha Ellison,Heavyweight Bout,KO/TKO,1,1:55,3 Rnd (5-5-5),Punches to Head From Guard,Win
UFC Fight Night: Ulberg vs. Reyes,Elisha Ellison,Brando Pericic,Heavyweight Bout,KO/TKO,1,1:55,3 Rnd (5-5-5),Punches to Head From Guard,Loss
UFC Fight Night: Ulberg vs. Reyes,Loma Lookboonmee,Alexia Thainara,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nathan Pintabona 27 - 30.Evan Field 27 - 30.Clemens Werner 27 - 30.,Loss
UFC Fight Night: Ulberg vs. Reyes,Alexia Thainara,Loma Lookboonmee,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nathan Pintabona 27 - 30.Evan Field 27 - 30.Clemens Werner 27 - 30.,Win
UFC Fight Night: Lopes vs. Silva,Diego Lopes,Jean Silva,Featherweight Bout,KO/TKO,2,4:48,5 Rnd (5-5-5-5-5),Punches to Head On Ground,Win
UFC Fight Night: Lopes vs. Silva,Jean Silva,Diego Lopes,Featherweight Bout,KO/TKO,2,4:48,5 Rnd (5-5-5-5-5),Punches to Head On Ground,Loss
UFC Fight Night: Lopes vs. Silva,Rob Font,David Martinez,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Lee 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Lopes vs. Silva,David Martinez,Rob Font,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Lee 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Lopes vs. Silva,Rafa Garcia,Jared Gordon,Lightweight Bout,KO/TKO,3,2:27,3 Rnd (5-5-5),Elbows to Head From Side Control,Win
UFC Fight Night: Lopes vs. Silva,Jared Gordon,Rafa Garcia,Lightweight Bout,KO/TKO,3,2:27,3 Rnd (5-5-5),Elbows to Head From Side Control,Loss
UFC Fight Night: Lopes vs. Silva,Kelvin Gastelum,Dustin Stoltzfus,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Lee 27 - 30.Jeff Rexroad 28 - 29.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Lopes vs. Silva,Dustin Stoltzfus,Kelvin Gastelum,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Lee 27 - 30.Jeff Rexroad 28 - 29.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Lopes vs. Silva,Alexander Hernandez,Diego Ferreira,Lightweight Bout,KO/TKO,2,3:46,3 Rnd (5-5-5),Punches to Head On Ground,Win
UFC Fight Night: Lopes vs. Silva,Diego Ferreira,Alexander Hernandez,Lightweight Bout,KO/TKO,2,3:46,3 Rnd (5-5-5),Punches to Head On Ground,Loss
UFC Fight Night: Lopes vs. Silva,Santiago Luna,Quang Le,Bantamweight Bout,KO/TKO,1,2:48,3 Rnd (5-5-5),Punch to Head On Ground,Win
UFC Fight Night: Lopes vs. Silva,Quang Le,Santiago Luna,Bantamweight Bout,KO/TKO,1,2:48,3 Rnd (5-5-5),Punch to Head On Ground,Loss
UFC Fight Night: Lopes vs. Silva,Jose Daniel Medina,Dusko Todorovic,Middleweight Bout,Submission,1,4:21,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Lopes vs. Silva,Dusko Todorovic,Jose Daniel Medina,Middleweight Bout,Submission,1,4:21,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Lopes vs. Silva,Claudio Puelles,Joaquim Silva,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jesse Lorenty 28 - 29.Chris Lee 29 - 28.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Lopes vs. Silva,Joaquim Silva,Claudio Puelles,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jesse Lorenty 28 - 29.Chris Lee 29 - 28.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Lopes vs. Silva,Tatiana Suarez,Amanda Lemos,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gino Garcia 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Lopes vs. Silva,Amanda Lemos,Tatiana Suarez,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gino Garcia 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Lopes vs. Silva,Jesus Aguilar,Luis Gurule,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jesse Lorenty 27 - 30.Chris Lee 28 - 29.Junichiro Kamijo 28 - 29.,Win
UFC Fight Night: Lopes vs. Silva,Luis Gurule,Jesus Aguilar,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jesse Lorenty 27 - 30.Chris Lee 28 - 29.Junichiro Kamijo 28 - 29.,Loss
UFC Fight Night: Lopes vs. Silva,Zachary Reese,Sedriques Dumas,Middleweight Bout,Could Not Continue,1,0:51,3 Rnd (5-5-5),Kick to Groin by Reese,No Contest
UFC Fight Night: Lopes vs. Silva,Sedriques Dumas,Zachary Reese,Middleweight Bout,Could Not Continue,1,0:51,3 Rnd (5-5-5),Kick to Groin by Reese,No Contest
UFC Fight Night: Lopes vs. Silva,Alessandro Costa,Alden Coria,Flyweight Bout,KO/TKO,3,0:47,3 Rnd (5-5-5),Punches to Head At Distance,Loss
UFC Fight Night: Lopes vs. Silva,Alden Coria,Alessandro Costa,Flyweight Bout,KO/TKO,3,0:47,3 Rnd (5-5-5),Punches to Head At Distance,Win
UFC Fight Night: Lopes vs. Silva,Montse Rendon,Alice Pereira,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jesse Lorenty 28 - 29.Junichiro Kamijo 29 - 28.Gino Garcia 27 - 30.,Win
UFC Fight Night: Lopes vs. Silva,Alice Pereira,Montse Rendon,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jesse Lorenty 28 - 29.Junichiro Kamijo 29 - 28.Gino Garcia 27 - 30.,Loss
UFC Fight Night: Lopes vs. Silva,Rodrigo Sezinando,Daniil Donchenko,Ultimate Fighter 33 Welterweight Tournament Title Bout,KO/TKO,1,4:27,3 Rnd + OT (5-5-5-5),Punches to Head At Distance,Loss
UFC Fight Night: Lopes vs. Silva,Daniil Donchenko,Rodrigo Sezinando,Ultimate Fighter 33 Welterweight Tournament Title Bout,KO/TKO,1,4:27,3 Rnd + OT (5-5-5-5),Punches to Head At Distance,Win
UFC Fight Night: Imavov vs. Borralho,Nassourdine Imavov,Caio Borralho,Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Derek Cleary 45 - 50.Ben Cartlidge 46 - 49.David Lethaby 46 - 49.,Win
UFC Fight Night: Imavov vs. Borralho,Caio Borralho,Nassourdine Imavov,Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Derek Cleary 45 - 50.Ben Cartlidge 46 - 49.David Lethaby 46 - 49.,Loss
UFC Fight Night: Imavov vs. Borralho,Benoit Saint Denis,Mauricio Ruffy,Lightweight Bout,Submission,2,2:56,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Imavov vs. Borralho,Mauricio Ruffy,Benoit Saint Denis,Lightweight Bout,Submission,2,2:56,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Imavov vs. Borralho,Modestas Bukauskas,Paul Craig,Light Heavyweight Bout,KO/TKO,1,5:00,3 Rnd (5-5-5),Elbow to Head From Guard,Win
UFC Fight Night: Imavov vs. Borralho,Paul Craig,Modestas Bukauskas,Light Heavyweight Bout,KO/TKO,1,5:00,3 Rnd (5-5-5),Elbow to Head From Guard,Loss
UFC Fight Night: Imavov vs. Borralho,Bolaji Oki,Mason Jones,Lightweight Bout,KO/TKO,2,3:18,3 Rnd (5-5-5),Elbows to Head From Mount,Loss
UFC Fight Night: Imavov vs. Borralho,Mason Jones,Bolaji Oki,Lightweight Bout,KO/TKO,2,3:18,3 Rnd (5-5-5),Elbows to Head From Mount,Win
UFC Fight Night: Imavov vs. Borralho,Axel Sola,Rhys McKee,Welterweight Bout,KO/TKO,3,2:02,3 Rnd (5-5-5),Punch to Body At Distance,Win
UFC Fight Night: Imavov vs. Borralho,Rhys McKee,Axel Sola,Welterweight Bout,KO/TKO,3,2:02,3 Rnd (5-5-5),Punch to Body At Distance,Loss
UFC Fight Night: Imavov vs. Borralho,William Gomis,Robert Ruchala,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 27 - 30.Derek Cleary 28 - 29.Clemens Werner 28 - 29.,Win
UFC Fight Night: Imavov vs. Borralho,Robert Ruchala,William Gomis,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ben Cartlidge 27 - 30.Derek Cleary 28 - 29.Clemens Werner 28 - 29.,Loss
UFC Fight Night: Imavov vs. Borralho,Oumar Sy,Brendson Ribeiro,Light Heavyweight Bout,KO/TKO,1,4:42,3 Rnd (5-5-5),Punches to Head From Back Control,Win
UFC Fight Night: Imavov vs. Borralho,Brendson Ribeiro,Oumar Sy,Light Heavyweight Bout,KO/TKO,1,4:42,3 Rnd (5-5-5),Punches to Head From Back Control,Loss
UFC Fight Night: Imavov vs. Borralho,Marcin Tybura,Ante Delija,Heavyweight Bout,KO/TKO,1,2:03,3 Rnd (5-5-5),Punches to Head On Ground,Loss
UFC Fight Night: Imavov vs. Borralho,Ante Delija,Marcin Tybura,Heavyweight Bout,KO/TKO,1,2:03,3 Rnd (5-5-5),Punches to Head On Ground,Win
UFC Fight Night: Imavov vs. Borralho,Harry Hardwick,Kaue Fernandes,Lightweight Bout,KO/TKO,1,3:21,3 Rnd (5-5-5),Kick to Leg At Distance,Loss
UFC Fight Night: Imavov vs. Borralho,Kaue Fernandes,Harry Hardwick,Lightweight Bout,KO/TKO,1,3:21,3 Rnd (5-5-5),Kick to Leg At Distance,Win
UFC Fight Night: Imavov vs. Borralho,Sam Patterson,Trey Waters,Welterweight Bout,KO/TKO,1,3:01,3 Rnd (5-5-5),Punches to Head At Distance,Win
UFC Fight Night: Imavov vs. Borralho,Trey Waters,Sam Patterson,Welterweight Bout,KO/TKO,1,3:01,3 Rnd (5-5-5),Punches to Head At Distance,Loss
UFC Fight Night: Imavov vs. Borralho,Brad Tavares,Robert Bryczek,Middleweight Bout,KO/TKO,3,1:43,3 Rnd (5-5-5),Punches to Head On Ground,Loss
UFC Fight Night: Imavov vs. Borralho,Robert Bryczek,Brad Tavares,Middleweight Bout,KO/TKO,3,1:43,3 Rnd (5-5-5),Punches to Head On Ground,Win
UFC Fight Night: Imavov vs. Borralho,Andreas Gustafsson,Rinat Fakhretdinov,Welterweight Bout,KO/TKO,1,0:54,3 Rnd (5-5-5),Punches to Head In Clinch,Loss
UFC Fight Night: Imavov vs. Borralho,Rinat Fakhretdinov,Andreas Gustafsson,Welterweight Bout,KO/TKO,1,0:54,3 Rnd (5-5-5),Punches to Head In Clinch,Win
UFC Fight Night: Imavov vs. Borralho,Shauna Bannon,Sam Hughes,Women's Strawweight Bout,Submission,2,1:58,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Imavov vs. Borralho,Sam Hughes,Shauna Bannon,Women's Strawweight Bout,Submission,2,1:58,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Walker vs. Zhang,Johnny Walker,Zhang Mingyang,Light Heavyweight Bout,KO/TKO,2,2:37,5 Rnd (5-5-5-5-5),Punches to Head On Ground,Win
UFC Fight Night: Walker vs. Zhang,Zhang Mingyang,Johnny Walker,Light Heavyweight Bout,KO/TKO,2,2:37,5 Rnd (5-5-5-5-5),Punches to Head On Ground,Loss
UFC Fight Night: Walker vs. Zhang,Brian Ortega,Aljamain Sterling,Catch Weight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Ben Cartlidge 45 - 50.David Lethaby 45 - 50.Vito Paolillo 45 - 50.,Loss
UFC Fight Night: Walker vs. Zhang,Aljamain Sterling,Brian Ortega,Catch Weight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Ben Cartlidge 45 - 50.David Lethaby 45 - 50.Vito Paolillo 45 - 50.,Win
